,chasing %
0,0.9898860231941176
1,0.0
2,0.0
3,2.63952209354428
4,2.1600334363807705
5,1.4662679168962776
6,0.0
7,29.510169079342973
8,9.728498101239339
9,13.801943542887296
10,8.377081694008995
11,3.109849667965727
12,8.233557924197866
13,11.445838940983503
14,0.0
15,9.321253149415975
16,12.457140685645452
17,8.465483680234922
18,4.836869481412136
19,6.8036592410984404
20,0.0
21,5.739089067220918
22,2.570742582747328
23,2.888500647999858
24,7.409119324772597
25,4.108433292982645
26,8.289736889294335
27,11.723437824445648
28,8.561344120830771
29,2.682785338742838
30,2.722189549393348
31,6.37685472120171
32,0.0
33,4.129028320312506
34,1.5110932742389989
35,2.588229602573694
36,0.0
37,18.34568660452272
38,6.863332967846338
39,7.192905469809263
40,7.1737558968131525
41,0.0
42,3.9286543543399715
43,0.0
44,1.5858789098226034
45,4.383141202477319
46,1.729891310928934
47,10.380564971751449
48,9.05675335976031
49,23.986345500737773
50,30.09027778805352
51,32.25139354666945
52,12.824623562250913
53,8.996160828546662
54,9.931606037536067
55,0.0
56,2.2918914461250965
57,15.509609726419704
58,38.913459038705845
59,23.088849779927344
60,35.97287332685188
61,16.264393268378967
62,12.802428578861457
63,13.59118677141942
64,6.332441774640135
65,3.682301723585266
66,19.060555640423143
67,25.148219211971405
68,15.783391817825201
69,23.540301335715387
70,9.445007046293053
71,11.22339029980406
72,9.583681189442604
73,6.6679499587386255
74,1.8381305477077594
75,9.565430456621828
