,event,event %
0,Anogenital,0.9912767048470612
1,Anogenital,5.269174591904256
2,Anogenital,2.661406171268733
3,Anogenital,1.6761668773198921
4,Anogenital,3.1531520279660024
5,Anogenital,1.4347122602168472
6,Anogenital,3.2701592146794303
7,Anogenital,1.2039850044530995
8,Anogenital,2.742942162281889
9,Anogenital,0.7561301084236866
10,Anogenital,3.595398929548901
11,Body,10.995572437735664
12,Body,10.800936030139118
13,Body,13.021412911828953
14,Body,10.74691139076092
15,Body,16.308808632529477
16,Body,7.262735613010819
17,Body,5.144789053827937
18,Body,6.871456680681881
19,Body,5.990015946728646
20,Body,5.5937281067556235
21,Body,12.979769615631797
22,Boxing,6.606021812164347
23,Boxing,0.40067074028987115
24,Boxing,5.749850763730771
25,Boxing,6.483673126143823
26,Boxing,3.9742834604522645
27,Boxing,4.460016680567148
28,Boxing,0.756439253869302
29,Boxing,6.517644622108055
30,Boxing,7.913491285211792
31,Boxing,5.482468723936604
32,Boxing,4.301274665577073
33,Break,7.06299689774903
34,Break,67.35346015691259
35,Break,35.52122345821318
36,Break,4.085506891607669
37,Break,39.689778879525015
38,Break,67.72083402835698
39,Break,73.24935838785743
40,Break,33.5267123713262
41,Break,19.947771676393415
42,Break,23.375129274395327
43,Break,36.55935412312255
44,Facial,1.1363391433496386
45,Facial,2.892658149570356
46,Facial,1.4663876048143563
47,Facial,0.26643886144012774
48,Facial,1.9430951537608483
49,Facial,0.7673894912426997
50,Facial,1.0123325152632314
51,Facial,1.524475466539631
52,Facial,0.753455055202852
53,Facial,0.600667222685577
54,Facial,1.9188220571486208
55,Mounting,3.4313064525049204
56,Mounting,0.724371823765524
57,Mounting,2.5841140816551644
58,Mounting,7.571376473115486
59,Mounting,3.0974485125496107
60,Mounting,2.2023519599666375
61,Mounting,0.5783945983990693
62,Mounting,9.17932934280564
63,Mounting,5.81848419380159
64,Mounting,6.416380316930809
65,Mounting,11.248900972107228
66,Pinning,47.112276689976575
67,Pinning,0.35666453393140835
68,Pinning,19.53996341218592
69,Pinning,47.28303966775075
70,Pinning,20.594813628027392
71,Pinning,3.8592660550458646
72,Pinning,0.061129778519795105
73,Pinning,30.378409726393436
74,Pinning,38.41059889176644
75,Pinning,45.138198498748956
76,Pinning,6.826884186653179
